#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5000,11765.10032026542,11146.894328566863,22911.994648832282,300.02534011617837
10000,11617.85114378007,11153.986345988542,22771.83748976861,300.21622601464753
15000,11805.232498235879,10965.83686762424,22771.06936586012,295.152070064567
20000,11764.886531241216,10953.716910295903,22718.603441537118,294.8258541507488
25000,11769.196359680782,11099.647525855044,22868.843885535825,298.7536641107203
30000,11828.898475509972,11231.152579812364,23060.051055322336,302.29320143632566
35000,11868.635613795997,11505.389548846535,23374.02516264253,309.67445378174784
40000,11953.168040217857,11291.17574092098,23244.343781138836,303.9087607836776
45000,12093.312517413278,11045.36711632282,23138.679633736097,297.2926743631262
50000,11937.80642492435,11167.334954523367,23105.14137944772,300.575511811901
55000,11659.529626637723,11414.188384149318,23073.71801078704,307.2197197858266
60000,11980.341698272174,11250.879864511806,23231.22156278398,302.82417312467754
65000,11709.348471065507,11332.989496469676,23042.337967535183,305.0342030692371
70000,11948.055161729262,11153.637933932103,23101.693095661365,300.20684829537856
75000,11687.777365125246,11210.708165040929,22898.485530166174,301.742927762379
80000,11839.141422478442,11174.507494852098,23013.648917330538,300.76856503266305
85000,11858.683433484768,11012.992403947748,22871.675837432515,296.42128958049653
90000,12038.531125330494,11285.573427560787,23324.10455289128,303.7579711626599
95000,11509.539018204216,10986.305363846592,22495.844382050807,295.7029919051948
100000,11701.146190407173,11058.35482819597,22759.501018603143,297.6422464104799
